State,Income ($),Personal Consumption Expenditure ($),GDP (million $),Median House Value ($),Population,Population in Poverty,Year
Georgia,47829,31741,456483,152400,9720914,1843768,2013
Hawaii,68020,39533,75095,500400,1367662,148368,2013
Idaho,46783,31628,61117,162700,1582911,246550,2013
Illinois,56210,37169,724795,179700,12576680,1845393,2013
Indiana,47529,32867,311188,129900,6367890,1015127,2013
Iowa,52229,34175,166787,136600,2991670,379127,2013
Kansas,50972,33542,142449,147400,2811722,393358,2013
Kentucky,43399,31129,183582,137400,4266556,800635,2013
Louisiana,44164,32056,246660,161400,4494989,888019,2013
Maine,46974,39779,54609,178800,1293827,180639,2013
Maryland,72483,40326,339409,287600,5788159,585571,2013
Massachusetts,66768,46223,441467,330600,6456530,770513,2013
Michigan,48273,34899,434674,130200,9669513,1648436,2013
Minnesota,60702,39521,307270,188700,5292348,592422,2013
Mississippi,37963,28588,104095,121700,2893768,695915,2013
Missouri,46931,34370,276715,144200,5861009,931066,2013
Montana,46972,37077,43006,206200,990603,163637,2013
Nebraska,51440,35763,109364,141500,1815565,239433,2013
Nevada,51230,33668,127989,169000,2750476,433576,2013
New Hampshire,64230,44890,68701,239500,1281181,111495,2013
New Jersey,70165,44055,537396,314200,8721010,998549,2013
New Mexico,43872,32772,90828,172700,2045402,448461,2013
New York,57369,41744,1341591,293900,19133973,3055645,2013
North Carolina,45906,31024,467075,165500,9588277,1715397,2013
North Dakota,55759,45389,51048,169400,698199,82398,2013
Ohio,48081,34222,562845,135900,11248753,1796942,2013
Oklahoma,45690,31323,176398,130200,3735207,626906,2013
Oregon,50251,35278,204867,238900,3852871,642138,2013
Pennsylvania,52007,37481,640294,178000,12353256,1690405,2013
Rhode Island,55902,38529,53300,233400,1010827,144446,2013
South Carolina,44163,31621,182400,155500,4631801,860380,2013
South Dakota,48947,35853,44673,152300,815049,115454,2013
Tennessee,44297,31480,290125,147400,6335295,1126772,2013
Texas,51704,33189,1557193,149600,25834229,4530039,2013
Utah,59770,31211,134974,214300,2851587,361181,2013
Vermont,52578,43088,28838,222900,602538,74058,2013
Virginia,62666,37832,454984,262000,8010544,938733,2013
Washington,58405,38938,407160,259700,6836262,967282,2013
West Virginia,41253,31586,70595,122600,1798266,332347,2013
Wisconsin,51467,35203,284728,168300,5593197,755551,2013
Wyoming,58752,37615,41782,205200,569307,62039,2013
Alabama,42830,30494,199440,145700,4727549,910175,2014
Alaska,71583,46229,57080,268700,717723,80627,2014
Arizona,50068,33934,284156,194900,6573369,1199061,2014
Arkansas,41262,29430,121395,128200,2882856,543882,2014
California,61933,38206,2311616,427700,38060228,6259098,2014
Colorado,61303,39216,306663,263500,5237149,630786,2014
Connecticut,70048,45844,253036,271000,3485629,374772,2014
Delaware,59716,41701,62756,234600,909611,113508,2014
District of Columbia,71648,55141,115473,497900,624327,110666,2014
Florida,47463,36397,839944,173500,19470210,3211615,2014
Georgia,49321,32815,476483,158800,9823859,1797969,2014
Hawaii,69592,41021,77389,531300,1379804,156729,2014
Idaho,47861,32553,63952,172700,1603083,237981,2014
Illinois,57444,38532,745875,183900,12571848,1804535,2014
Indiana,49446,33758,317840,132000,6391460,974218,2014
Iowa,53712,35258,170613,142700,3004857,367816,2014
Kansas,52504,34662,147075,147200,2821431,382712,2014
Kentucky,42958,31775,188602,140300,4275359,817542,2014
Louisiana,44555,32979,251397,162400,4518525,896524,2014
Maine,49462,41148,55838,186800,1294009,182791,2014
Maryland,73971,41460,348631,297900,5835377,589818,2014
Massachusetts,69160,48020,459937,343500,6509672,757235,2014
Michigan,49847,36218,451516,140200,9686787,1568844,2014
Minnesota,61481,40849,316204,197200,5332552,611354,2014
Mississippi,39680,29386,104851,126300,2895470,623113,2014
Missouri,48363,35052,284462,149300,5878658,908628,2014
Montana,46328,38518,44269,215200,997952,153954,2014
Nebraska,52686,36857,112159,143900,1828121,227310,2014
Nevada,51450,34469,132064,199300,2800768,426730,2014
New Hampshire,66532,46633,71552,242400,1287504,117983,2014
New Jersey,71919,45496,549099,322500,8762159,972903,2014
New Mexico,44803,33943,92959,172700,2045525,436153,2014
New York,58878,43727,1404518,299500,19228524,3062938,2014
North Carolina,46556,32056,483126,168100,9691794,1668686,2014
North Dakota,59029,47739,55136,181900,712548,82264,2014
Ohio,49308,35333,583261,138600,11276403,1785780,2014
Oklahoma,47529,32266,183501,135700,3759517,623840,2014
Oregon,51075,36767,215677,249600,3893475,644450,2014
Pennsylvania,53234,38609,662890,178800,12371337,1682212,2014
Rhode Island,54891,39774,54960,237100,1015655,145596,2014
South Carolina,45238,32280,190304,158300,4691589,843860,2014
